# T.32 Role Classification Matrix — full enumeration (generated)
# axes: stat | reach | durability | playstyle | speed | intent  =>  role_code  =>  role
# total combos: 1512

stat   reach  durability playstyle speed   intent  | role_code                                    | role
int    melee  tanky_hp   auto      moloch  utility | int-melee-tanky_hp-auto-moloch-utility       | tank
int    melee  tanky_hp   auto      moloch  hybrid  | int-melee-tanky_hp-auto-moloch               | tank
int    melee  tanky_hp   auto      leaden  damage  | int-melee-tanky_hp-auto-leaden-damage        | bruiser
int    melee  tanky_hp   auto      leaden  utility | int-melee-tanky_hp-auto-leaden-utility       | tank
int    melee  tanky_hp   auto      leaden  hybrid  | int-melee-tanky_hp-auto-leaden               | tank
int    melee  tanky_hp   auto      heavy   damage  | int-melee-tanky_hp-auto-heavy-damage         | bruiser
int    melee  tanky_hp   auto      heavy   utility | int-melee-tanky_hp-auto-heavy-utility        | tank
int    melee  tanky_hp   auto      heavy   hybrid  | int-melee-tanky_hp-auto-heavy                | tank
int    melee  tanky_hp   auto      hybrid  damage  | int-melee-tanky_hp-auto-damage               | bruiser
int    melee  tanky_hp   auto      hybrid  utility | int-melee-tanky_hp-auto-utility              | tank
int    melee  tanky_hp   auto      hybrid  hybrid  | int-melee-tanky_hp-auto                      | tank
int    melee  tanky_hp   auto      light   damage  | int-melee-tanky_hp-auto-light-damage         | bruiser
int    melee  tanky_hp   auto      light   utility | int-melee-tanky_hp-auto-light-utility        | tank
int    melee  tanky_hp   auto      light   hybrid  | int-melee-tanky_hp-auto-light                | tank
int    melee  tanky_hp   auto      swift   damage  | int-melee-tanky_hp-auto-swift-damage         | bruiser
int    melee  tanky_hp   auto      swift   utility | int-melee-tanky_hp-auto-swift-utility        | tank
int    melee  tanky_hp   auto      swift   hybrid  | int-melee-tanky_hp-auto-swift                | tank
int    melee  tanky_hp   auto      blazing damage  | int-melee-tanky_hp-auto-blazing-damage       | bruiser
int    melee  tanky_hp   auto      blazing utility | int-melee-tanky_hp-auto-blazing-utility      | tank
int    melee  tanky_hp   auto      blazing hybrid  | int-melee-tanky_hp-auto-blazing              | tank
int    melee  tanky_hp   hybrid    moloch  damage  | int-melee-tanky_hp-moloch-damage             | bruiser
int    melee  tanky_hp   hybrid    moloch  utility | int-melee-tanky_hp-moloch-utility            | tank
int    melee  tanky_hp   hybrid    moloch  hybrid  | int-melee-tanky_hp-moloch                    | tank
int    melee  tanky_hp   hybrid    leaden  damage  | int-melee-tanky_hp-leaden-damage             | bruiser
int    melee  tanky_hp   hybrid    leaden  utility | int-melee-tanky_hp-leaden-utility            | tank
int    melee  tanky_hp   hybrid    leaden  hybrid  | int-melee-tanky_hp-leaden                    | tank
int    melee  tanky_hp   hybrid    heavy   damage  | int-melee-tanky_hp-heavy-damage              | bruiser
int    melee  tanky_hp   hybrid    heavy   utility | int-melee-tanky_hp-heavy-utility             | tank
int    melee  tanky_hp   hybrid    heavy   hybrid  | int-melee-tanky_hp-heavy                     | tank
int    melee  tanky_hp   hybrid    hybrid  damage  | int-melee-tanky_hp-damage                    | bruiser
int    melee  tanky_hp   hybrid    hybrid  utility | int-melee-tanky_hp-utility                   | tank
int    melee  tanky_hp   hybrid    hybrid  hybrid  | int-melee-tanky_hp                           | tank
int    melee  tanky_hp   hybrid    light   damage  | int-melee-tanky_hp-light-damage              | bruiser
int    melee  tanky_hp   hybrid    light   utility | int-melee-tanky_hp-light-utility             | tank
int    melee  tanky_hp   hybrid    light   hybrid  | int-melee-tanky_hp-light                     | tank
int    melee  tanky_hp   hybrid    swift   damage  | int-melee-tanky_hp-swift-damage              | bruiser
int    melee  tanky_hp   hybrid    swift   utility | int-melee-tanky_hp-swift-utility             | tank
int    melee  tanky_hp   hybrid    swift   hybrid  | int-melee-tanky_hp-swift                     | tank
int    melee  tanky_hp   hybrid    blazing damage  | int-melee-tanky_hp-blazing-damage            | bruiser
int    melee  tanky_hp   hybrid    blazing utility | int-melee-tanky_hp-blazing-utility           | tank
int    melee  tanky_hp   hybrid    blazing hybrid  | int-melee-tanky_hp-blazing                   | tank
int    melee  tanky_hp   ability   moloch  damage  | int-melee-tanky_hp-ability-moloch-damage     | bruiser
int    melee  tanky_hp   ability   moloch  utility | int-melee-tanky_hp-ability-moloch-utility    | tank
int    melee  tanky_hp   ability   moloch  hybrid  | int-melee-tanky_hp-ability-moloch            | tank
int    melee  tanky_hp   ability   leaden  damage  | int-melee-tanky_hp-ability-leaden-damage     | bruiser
int    melee  tanky_hp   ability   leaden  utility | int-melee-tanky_hp-ability-leaden-utility    | tank
int    melee  tanky_hp   ability   leaden  hybrid  | int-melee-tanky_hp-ability-leaden            | tank
int    melee  tanky_hp   ability   heavy   damage  | int-melee-tanky_hp-ability-heavy-damage      | bruiser
int    melee  tanky_hp   ability   heavy   utility | int-melee-tanky_hp-ability-heavy-utility     | tank
int    melee  tanky_hp   ability   heavy   hybrid  | int-melee-tanky_hp-ability-heavy             | tank
int    melee  tanky_hp   ability   hybrid  damage  | int-melee-tanky_hp-ability-damage            | bruiser
int    melee  tanky_hp   ability   hybrid  utility | int-melee-tanky_hp-ability-utility           | tank
int    melee  tanky_hp   ability   hybrid  hybrid  | int-melee-tanky_hp-ability                   | tank
int    melee  tanky_hp   ability   light   damage  | int-melee-tanky_hp-ability-light-damage      | bruiser
int    melee  tanky_hp   ability   light   utility | int-melee-tanky_hp-ability-light-utility     | tank
int    melee  tanky_hp   ability   light   hybrid  | int-melee-tanky_hp-ability-light             | tank
int    melee  tanky_hp   ability   swift   damage  | int-melee-tanky_hp-ability-swift-damage      | bruiser
int    melee  tanky_hp   ability   swift   utility | int-melee-tanky_hp-ability-swift-utility     | tank
int    melee  tanky_hp   ability   swift   hybrid  | int-melee-tanky_hp-ability-swift             | tank
int    melee  tanky_hp   ability   blazing damage  | int-melee-tanky_hp-ability-blazing-damage    | bruiser
int    melee  tanky_hp   ability   blazing utility | int-melee-tanky_hp-ability-blazing-utility   | tank
int    melee  tanky_hp   ability   blazing hybrid  | int-melee-tanky_hp-ability-blazing           | tank
int    melee  tanky_arm  auto      moloch  damage  | int-melee-tanky_arm-auto-moloch-damage       | bruiser
int    melee  tanky_arm  auto      moloch  utility | int-melee-tanky_arm-auto-moloch-utility      | tank
int    melee  tanky_arm  auto      moloch  hybrid  | int-melee-tanky_arm-auto-moloch              | tank
int    melee  tanky_arm  auto      leaden  damage  | int-melee-tanky_arm-auto-leaden-damage       | bruiser
int    melee  tanky_arm  auto      leaden  utility | int-melee-tanky_arm-auto-leaden-utility      | tank
int    melee  tanky_arm  auto      leaden  hybrid  | int-melee-tanky_arm-auto-leaden              | tank
int    melee  tanky_arm  auto      heavy   damage  | int-melee-tanky_arm-auto-heavy-damage        | bruiser
int    melee  tanky_arm  auto      heavy   utility | int-melee-tanky_arm-auto-heavy-utility       | tank
int    melee  tanky_arm  auto      heavy   hybrid  | int-melee-tanky_arm-auto-heavy               | tank
int    melee  tanky_arm  auto      hybrid  damage  | int-melee-tanky_arm-auto-damage              | bruiser
int    melee  tanky_arm  auto      hybrid  utility | int-melee-tanky_arm-auto-utility             | tank
int    melee  tanky_arm  auto      hybrid  hybrid  | int-melee-tanky_arm-auto                     | tank
int    melee  tanky_arm  auto      light   damage  | int-melee-tanky_arm-auto-light-damage        | bruiser
int    melee  tanky_arm  auto      light   utility | int-melee-tanky_arm-auto-light-utility       | tank
int    melee  tanky_arm  auto      light   hybrid  | int-melee-tanky_arm-auto-light               | tank
int    melee  tanky_arm  auto      swift   damage  | int-melee-tanky_arm-auto-swift-damage        | bruiser
int    melee  tanky_arm  auto      swift   utility | int-melee-tanky_arm-auto-swift-utility       | tank
int    melee  tanky_arm  auto      swift   hybrid  | int-melee-tanky_arm-auto-swift               | tank
int    melee  tanky_arm  auto      blazing damage  | int-melee-tanky_arm-auto-blazing-damage      | bruiser
int    melee  tanky_arm  auto      blazing utility | int-melee-tanky_arm-auto-blazing-utility     | tank
int    melee  tanky_arm  auto      blazing hybrid  | int-melee-tanky_arm-auto-blazing             | tank
int    melee  tanky_arm  hybrid    moloch  damage  | int-melee-tanky_arm-moloch-damage            | bruiser
int    melee  tanky_arm  hybrid    moloch  utility | int-melee-tanky_arm-moloch-utility           | tank
int    melee  tanky_arm  hybrid    moloch  hybrid  | int-melee-tanky_arm-moloch                   | tank
int    melee  tanky_arm  hybrid    leaden  damage  | int-melee-tanky_arm-leaden-damage            | bruiser
int    melee  tanky_arm  hybrid    leaden  utility | int-melee-tanky_arm-leaden-utility           | tank
int    melee  tanky_arm  hybrid    leaden  hybrid  | int-melee-tanky_arm-leaden                   | tank
int    melee  tanky_arm  hybrid    heavy   damage  | int-melee-tanky_arm-heavy-damage             | bruiser
int    melee  tanky_arm  hybrid    heavy   utility | int-melee-tanky_arm-heavy-utility            | tank
int    melee  tanky_arm  hybrid    heavy   hybrid  | int-melee-tanky_arm-heavy                    | tank
int    melee  tanky_arm  hybrid    hybrid  damage  | int-melee-tanky_arm-damage                   | bruiser
int    melee  tanky_arm  hybrid    hybrid  utility | int-melee-tanky_arm-utility                  | tank
int    melee  tanky_arm  hybrid    hybrid  hybrid  | int-melee-tanky_arm                          | tank
int    melee  tanky_arm  hybrid    light   damage  | int-melee-tanky_arm-light-damage             | bruiser
int    melee  tanky_arm  hybrid    light   utility | int-melee-tanky_arm-light-utility            | tank
int    melee  tanky_arm  hybrid    light   hybrid  | int-melee-tanky_arm-light                    | tank
int    melee  tanky_arm  hybrid    swift   damage  | int-melee-tanky_arm-swift-damage             | bruiser
int    melee  tanky_arm  hybrid    swift   utility | int-melee-tanky_arm-swift-utility            | tank
int    melee  tanky_arm  hybrid    swift   hybrid  | int-melee-tanky_arm-swift                    | tank
int    melee  tanky_arm  hybrid    blazing damage  | int-melee-tanky_arm-blazing-damage           | bruiser
int    melee  tanky_arm  hybrid    blazing utility | int-melee-tanky_arm-blazing-utility          | tank
int    melee  tanky_arm  hybrid    blazing hybrid  | int-melee-tanky_arm-blazing                  | tank
int    melee  tanky_arm  ability   moloch  damage  | int-melee-tanky_arm-ability-moloch-damage    | bruiser
int    melee  tanky_arm  ability   moloch  utility | int-melee-tanky_arm-ability-moloch-utility   | tank
int    melee  tanky_arm  ability   moloch  hybrid  | int-melee-tanky_arm-ability-moloch           | tank
int    melee  tanky_arm  ability   leaden  damage  | int-melee-tanky_arm-ability-leaden-damage    | bruiser
int    melee  tanky_arm  ability   leaden  utility | int-melee-tanky_arm-ability-leaden-utility   | tank
int    melee  tanky_arm  ability   leaden  hybrid  | int-melee-tanky_arm-ability-leaden           | tank
int    melee  tanky_arm  ability   heavy   damage  | int-melee-tanky_arm-ability-heavy-damage     | bruiser
int    melee  tanky_arm  ability   heavy   utility | int-melee-tanky_arm-ability-heavy-utility    | tank
int    melee  tanky_arm  ability   heavy   hybrid  | int-melee-tanky_arm-ability-heavy            | tank
int    melee  tanky_arm  ability   hybrid  damage  | int-melee-tanky_arm-ability-damage           | bruiser
int    melee  tanky_arm  ability   hybrid  utility | int-melee-tanky_arm-ability-utility          | tank
int    melee  tanky_arm  ability   hybrid  hybrid  | int-melee-tanky_arm-ability                  | tank
int    melee  tanky_arm  ability   light   damage  | int-melee-tanky_arm-ability-light-damage     | bruiser
int    melee  tanky_arm  ability   light   utility | int-melee-tanky_arm-ability-light-utility    | tank
int    melee  tanky_arm  ability   light   hybrid  | int-melee-tanky_arm-ability-light            | tank
int    melee  tanky_arm  ability   swift   damage  | int-melee-tanky_arm-ability-swift-damage     | bruiser
int    melee  tanky_arm  ability   swift   utility | int-melee-tanky_arm-ability-swift-utility    | tank
int    melee  tanky_arm  ability   swift   hybrid  | int-melee-tanky_arm-ability-swift            | tank
int    melee  tanky_arm  ability   blazing damage  | int-melee-tanky_arm-ability-blazing-damage   | bruiser
int    melee  tanky_arm  ability   blazing utility | int-melee-tanky_arm-ability-blazing-utility  | tank
int    melee  tanky_arm  ability   blazing hybrid  | int-melee-tanky_arm-ability-blazing          | tank
int    ranged squishy    auto      moloch  damage  | int-ranged-squishy-auto-moloch-damage        | marksman
int    ranged squishy    auto      moloch  utility | int-ranged-squishy-auto-moloch-utility       | support
int    ranged squishy    auto      moloch  hybrid  | int-ranged-squishy-auto-moloch               | marksman
int    ranged squishy    auto      leaden  damage  | int-ranged-squishy-auto-leaden-damage        | marksman
int    ranged squishy    auto      leaden  utility | int-ranged-squishy-auto-leaden-utility       | support
int    ranged squishy    auto      leaden  hybrid  | int-ranged-squishy-auto-leaden               | marksman
int    ranged squishy    auto      heavy   damage  | int-ranged-squishy-auto-heavy-damage         | marksman
int    ranged squishy    auto      heavy   utility | int-ranged-squishy-auto-heavy-utility        | support
int    ranged squishy    auto      heavy   hybrid  | int-ranged-squishy-auto-heavy                | marksman
int    ranged squishy    auto      hybrid  damage  | int-ranged-squishy-auto-damage               | marksman
int    ranged squishy    auto      hybrid  utility | int-ranged-squishy-auto-utility              | support
int    ranged squishy    auto      hybrid  hybrid  | int-ranged-squishy-auto                      | marksman
int    ranged squishy    auto      light   damage  | int-ranged-squishy-auto-light-damage         | marksman
int    ranged squishy    auto      light   utility | int-ranged-squishy-auto-light-utility        | support
int    ranged squishy    auto      light   hybrid  | int-ranged-squishy-auto-light                | marksman
int    ranged squishy    auto      swift   damage  | int-ranged-squishy-auto-swift-damage         | marksman
int    ranged squishy    auto      swift   utility | int-ranged-squishy-auto-swift-utility        | support
int    ranged squishy    auto      swift   hybrid  | int-ranged-squishy-auto-swift                | marksman
int    ranged squishy    auto      blazing damage  | int-ranged-squishy-auto-blazing-damage       | marksman
int    ranged squishy    auto      blazing utility | int-ranged-squishy-auto-blazing-utility      | support
int    ranged squishy    auto      blazing hybrid  | int-ranged-squishy-auto-blazing              | marksman
int    ranged squishy    hybrid    moloch  damage  | int-ranged-squishy-moloch-damage             | spellslinger
int    ranged squishy    hybrid    moloch  utility | int-ranged-squishy-moloch-utility            | support
int    ranged squishy    hybrid    moloch  hybrid  | int-ranged-squishy-moloch                    | marksman
int    ranged squishy    hybrid    leaden  damage  | int-ranged-squishy-leaden-damage             | spellslinger
int    ranged squishy    hybrid    leaden  utility | int-ranged-squishy-leaden-utility            | support
int    ranged squishy    hybrid    leaden  hybrid  | int-ranged-squishy-leaden                    | marksman
int    ranged squishy    hybrid    heavy   damage  | int-ranged-squishy-heavy-damage              | spellslinger
int    ranged squishy    hybrid    heavy   utility | int-ranged-squishy-heavy-utility             | support
int    ranged squishy    hybrid    heavy   hybrid  | int-ranged-squishy-heavy                     | marksman
int    ranged squishy    hybrid    hybrid  damage  | int-ranged-squishy-damage                    | spellslinger
int    ranged squishy    hybrid    hybrid  utility | int-ranged-squishy-utility                   | support
int    ranged squishy    hybrid    hybrid  hybrid  | int-ranged-squishy                           | marksman
int    ranged squishy    hybrid    light   damage  | int-ranged-squishy-light-damage              | spellslinger
int    ranged squishy    hybrid    light   utility | int-ranged-squishy-light-utility             | support
int    ranged squishy    hybrid    light   hybrid  | int-ranged-squishy-light                     | marksman
int    ranged squishy    hybrid    swift   damage  | int-ranged-squishy-swift-damage              | spellslinger
int    ranged squishy    hybrid    swift   utility | int-ranged-squishy-swift-utility             | support
int    ranged squishy    hybrid    swift   hybrid  | int-ranged-squishy-swift                     | marksman
int    ranged squishy    hybrid    blazing damage  | int-ranged-squishy-blazing-damage            | spellslinger
int    ranged squishy    hybrid    blazing utility | int-ranged-squishy-blazing-utility           | support
int    ranged squishy    hybrid    blazing hybrid  | int-ranged-squishy-blazing                   | marksman
int    ranged squishy    ability   moloch  damage  | int-ranged-squishy-ability-moloch-damage     | mage
int    ranged squishy    ability   moloch  utility | int-ranged-squishy-ability-moloch-utility    | support
int    ranged squishy    ability   moloch  hybrid  | int-ranged-squishy-ability-moloch            | mage
int    ranged squishy    ability   leaden  damage  | int-ranged-squishy-ability-leaden-damage     | mage
int    ranged squishy    ability   leaden  utility | int-ranged-squishy-ability-leaden-utility    | support
int    ranged squishy    ability   leaden  hybrid  | int-ranged-squishy-ability-leaden            | mage
int    ranged squishy    ability   heavy   damage  | int-ranged-squishy-ability-heavy-damage      | mage
int    ranged squishy    ability   heavy   utility | int-ranged-squishy-ability-heavy-utility     | support
int    ranged squishy    ability   heavy   hybrid  | int-ranged-squishy-ability-heavy             | mage
int    ranged squishy    ability   hybrid  damage  | int-ranged-squishy-ability-damage            | mage
int    ranged squishy    ability   hybrid  utility | int-ranged-squishy-ability-utility           | support
int    ranged squishy    ability   hybrid  hybrid  | int-ranged-squishy-ability                   | mage
int    ranged squishy    ability   light   damage  | int-ranged-squishy-ability-light-damage      | mage
int    ranged squishy    ability   light   utility | int-ranged-squishy-ability-light-utility     | support
int    ranged squishy    ability   light   hybrid  | int-ranged-squishy-ability-light             | mage
int    ranged squishy    ability   swift   damage  | int-ranged-squishy-ability-swift-damage      | mage
int    ranged squishy    ability   swift   utility | int-ranged-squishy-ability-swift-utility     | support
int    ranged squishy    ability   swift   hybrid  | int-ranged-squishy-ability-swift             | mage
int    ranged squishy    ability   blazing damage  | int-ranged-squishy-ability-blazing-damage    | mage
int    ranged squishy    ability   blazing utility | int-ranged-squishy-ability-blazing-utility   | support
int    ranged squishy    ability   blazing hybrid  | int-ranged-squishy-ability-blazing           | mage
int    ranged hybrid     auto      moloch  damage  | int-ranged-auto-moloch-damage                | marksman
int    ranged hybrid     auto      moloch  utility | int-ranged-auto-moloch-utility               | support
int    ranged hybrid     auto      moloch  hybrid  | int-ranged-auto-moloch                       | marksman
int    ranged hybrid     auto      leaden  damage  | int-ranged-auto-leaden-damage                | marksman
int    ranged hybrid     auto      leaden  utility | int-ranged-auto-leaden-utility               | support
int    ranged hybrid     auto      leaden  hybrid  | int-ranged-auto-leaden                       | marksman
int    ranged hybrid     auto      heavy   damage  | int-ranged-auto-heavy-damage                 | marksman
int    ranged hybrid     auto      heavy   utility | int-ranged-auto-heavy-utility                | support
int    ranged hybrid     auto      heavy   hybrid  | int-ranged-auto-heavy                        | marksman
int    ranged hybrid     auto      hybrid  damage  | int-ranged-auto-damage                       | marksman
int    ranged hybrid     auto      hybrid  utility | int-ranged-auto-utility                      | support
int    ranged hybrid     auto      hybrid  hybrid  | int-ranged-auto                              | marksman
int    ranged hybrid     auto      light   damage  | int-ranged-auto-light-damage                 | marksman
int    ranged hybrid     auto      light   utility | int-ranged-auto-light-utility                | support
int    ranged hybrid     auto      light   hybrid  | int-ranged-auto-light                        | marksman
int    ranged hybrid     auto      swift   damage  | int-ranged-auto-swift-damage                 | marksman
int    ranged hybrid     auto      swift   utility | int-ranged-auto-swift-utility                | support
int    ranged hybrid     auto      swift   hybrid  | int-ranged-auto-swift                        | marksman
int    ranged hybrid     auto      blazing damage  | int-ranged-auto-blazing-damage               | marksman
int    ranged hybrid     auto      blazing utility | int-ranged-auto-blazing-utility              | support
int    ranged hybrid     auto      blazing hybrid  | int-ranged-auto-blazing                      | marksman
int    ranged hybrid     hybrid    moloch  damage  | int-ranged-moloch-damage                     | spellslinger
int    ranged hybrid     hybrid    moloch  utility | int-ranged-moloch-utility                    | support
int    ranged hybrid     hybrid    moloch  hybrid  | int-ranged-moloch                            | marksman
int    ranged hybrid     hybrid    leaden  damage  | int-ranged-leaden-damage                     | spellslinger
int    ranged hybrid     hybrid    leaden  utility | int-ranged-leaden-utility                    | support
int    ranged hybrid     hybrid    leaden  hybrid  | int-ranged-leaden                            | marksman
int    ranged hybrid     hybrid    heavy   damage  | int-ranged-heavy-damage                      | spellslinger
int    ranged hybrid     hybrid    heavy   utility | int-ranged-heavy-utility                     | support
int    ranged hybrid     hybrid    heavy   hybrid  | int-ranged-heavy                             | marksman
int    ranged hybrid     hybrid    hybrid  damage  | int-ranged-damage                            | spellslinger
int    ranged hybrid     hybrid    hybrid  utility | int-ranged-utility                           | support
int    ranged hybrid     hybrid    hybrid  hybrid  | int-ranged                                   | marksman
int    ranged hybrid     hybrid    light   damage  | int-ranged-light-damage                      | spellslinger
int    ranged hybrid     hybrid    light   utility | int-ranged-light-utility                     | support
int    ranged hybrid     hybrid    light   hybrid  | int-ranged-light                             | marksman
int    ranged hybrid     hybrid    swift   damage  | int-ranged-swift-damage                      | spellslinger
int    ranged hybrid     hybrid    swift   utility | int-ranged-swift-utility                     | support
int    ranged hybrid     hybrid    swift   hybrid  | int-ranged-swift                             | marksman
int    ranged hybrid     hybrid    blazing damage  | int-ranged-blazing-damage                    | spellslinger
int    ranged hybrid     hybrid    blazing utility | int-ranged-blazing-utility                   | support
int    ranged hybrid     hybrid    blazing hybrid  | int-ranged-blazing                           | marksman
int    ranged hybrid     ability   moloch  damage  | int-ranged-ability-moloch-damage             | mage
int    ranged hybrid     ability   moloch  utility | int-ranged-ability-moloch-utility            | support
int    ranged hybrid     ability   moloch  hybrid  | int-ranged-ability-moloch                    | mage
int    ranged hybrid     ability   leaden  damage  | int-ranged-ability-leaden-damage             | mage
int    ranged hybrid     ability   leaden  utility | int-ranged-ability-leaden-utility            | support
int    ranged hybrid     ability   leaden  hybrid  | int-ranged-ability-leaden                    | mage
int    ranged hybrid     ability   heavy   damage  | int-ranged-ability-heavy-damage              | mage
int    ranged hybrid     ability   heavy   utility | int-ranged-ability-heavy-utility             | support
int    ranged hybrid     ability   heavy   hybrid  | int-ranged-ability-heavy                     | mage
int    ranged hybrid     ability   hybrid  damage  | int-ranged-ability-damage                    | mage
int    ranged hybrid     ability   hybrid  utility | int-ranged-ability-utility                   | support
int    ranged hybrid     ability   hybrid  hybrid  | int-ranged-ability                           | mage
int    ranged hybrid     ability   light   damage  | int-ranged-ability-light-damage              | mage
int    ranged hybrid     ability   light   utility | int-ranged-ability-light-utility             | support
int    ranged hybrid     ability   light   hybrid  | int-ranged-ability-light                     | mage
int    ranged hybrid     ability   swift   damage  | int-ranged-ability-swift-damage              | mage
int    ranged hybrid     ability   swift   utility | int-ranged-ability-swift-utility             | support
int    ranged hybrid     ability   swift   hybrid  | int-ranged-ability-swift                     | mage
int    ranged hybrid     ability   blazing damage  | int-ranged-ability-blazing-damage            | mage
int    ranged hybrid     ability   blazing utility | int-ranged-ability-blazing-utility           | support
int    ranged hybrid     ability   blazing hybrid  | int-ranged-ability-blazing                   | mage
int    ranged tanky_hp   auto      moloch  damage  | int-ranged-tanky_hp-auto-moloch-damage       | bruiser
int    ranged tanky_hp   auto      moloch  utility | int-ranged-tanky_hp-auto-moloch-utility      | tank
int    ranged tanky_hp   auto      moloch  hybrid  | int-ranged-tanky_hp-auto-moloch              | tank
int    ranged tanky_hp   auto      leaden  damage  | int-ranged-tanky_hp-auto-leaden-damage       | bruiser
int    ranged tanky_hp   auto      leaden  utility | int-ranged-tanky_hp-auto-leaden-utility      | tank
int    ranged tanky_hp   auto      leaden  hybrid  | int-ranged-tanky_hp-auto-leaden              | tank
int    ranged tanky_hp   auto      heavy   damage  | int-ranged-tanky_hp-auto-heavy-damage        | bruiser
int    ranged tanky_hp   auto      heavy   utility | int-ranged-tanky_hp-auto-heavy-utility       | tank
int    ranged tanky_hp   auto      heavy   hybrid  | int-ranged-tanky_hp-auto-heavy               | tank
int    ranged tanky_hp   auto      hybrid  damage  | int-ranged-tanky_hp-auto-damage              | bruiser
int    ranged tanky_hp   auto      hybrid  utility | int-ranged-tanky_hp-auto-utility             | tank
int    ranged tanky_hp   auto      hybrid  hybrid  | int-ranged-tanky_hp-auto                     | tank
int    ranged tanky_hp   auto      light   damage  | int-ranged-tanky_hp-auto-light-damage        | bruiser
int    ranged tanky_hp   auto      light   utility | int-ranged-tanky_hp-auto-light-utility       | tank
int    ranged tanky_hp   auto      light   hybrid  | int-ranged-tanky_hp-auto-light               | tank
int    ranged tanky_hp   auto      swift   damage  | int-ranged-tanky_hp-auto-swift-damage        | bruiser
int    ranged tanky_hp   auto      swift   utility | int-ranged-tanky_hp-auto-swift-utility       | tank
int    ranged tanky_hp   auto      swift   hybrid  | int-ranged-tanky_hp-auto-swift               | tank
int    ranged tanky_hp   auto      blazing damage  | int-ranged-tanky_hp-auto-blazing-damage      | bruiser
int    ranged tanky_hp   auto      blazing utility | int-ranged-tanky_hp-auto-blazing-utility     | tank
int    ranged tanky_hp   auto      blazing hybrid  | int-ranged-tanky_hp-auto-blazing             | tank
int    ranged tanky_hp   hybrid    moloch  damage  | int-ranged-tanky_hp-moloch-damage            | bruiser
int    ranged tanky_hp   hybrid    moloch  utility | int-ranged-tanky_hp-moloch-utility           | tank
int    ranged tanky_hp   hybrid    moloch  hybrid  | int-ranged-tanky_hp-moloch                   | tank
int    ranged tanky_hp   hybrid    leaden  damage  | int-ranged-tanky_hp-leaden-damage            | bruiser
int    ranged tanky_hp   hybrid    leaden  utility | int-ranged-tanky_hp-leaden-utility           | tank
int    ranged tanky_hp   hybrid    leaden  hybrid  | int-ranged-tanky_hp-leaden                   | tank
int    ranged tanky_hp   hybrid    heavy   damage  | int-ranged-tanky_hp-heavy-damage             | bruiser
int    ranged tanky_hp   hybrid    heavy   utility | int-ranged-tanky_hp-heavy-utility            | tank
int    ranged tanky_hp   hybrid    heavy   hybrid  | int-ranged-tanky_hp-heavy                    | tank
int    ranged tanky_hp   hybrid    hybrid  damage  | int-ranged-tanky_hp-damage                   | bruiser
int    ranged tanky_hp   hybrid    hybrid  utility | int-ranged-tanky_hp-utility                  | tank
int    ranged tanky_hp   hybrid    hybrid  hybrid  | int-ranged-tanky_hp                          | tank
int    ranged tanky_hp   hybrid    light   damage  | int-ranged-tanky_hp-light-damage             | bruiser
int    ranged tanky_hp   hybrid    light   utility | int-ranged-tanky_hp-light-utility            | tank
int    ranged tanky_hp   hybrid    light   hybrid  | int-ranged-tanky_hp-light                    | tank
int    ranged tanky_hp   hybrid    swift   damage  | int-ranged-tanky_hp-swift-damage             | bruiser
int    ranged tanky_hp   hybrid    swift   utility | int-ranged-tanky_hp-swift-utility            | tank
int    ranged tanky_hp   hybrid    swift   hybrid  | int-ranged-tanky_hp-swift                    | tank
int    ranged tanky_hp   hybrid    blazing damage  | int-ranged-tanky_hp-blazing-damage           | bruiser
int    ranged tanky_hp   hybrid    blazing utility | int-ranged-tanky_hp-blazing-utility          | tank
int    ranged tanky_hp   hybrid    blazing hybrid  | int-ranged-tanky_hp-blazing                  | tank
int    ranged tanky_hp   ability   moloch  damage  | int-ranged-tanky_hp-ability-moloch-damage    | bruiser
int    ranged tanky_hp   ability   moloch  utility | int-ranged-tanky_hp-ability-moloch-utility   | tank
int    ranged tanky_hp   ability   moloch  hybrid  | int-ranged-tanky_hp-ability-moloch           | tank
int    ranged tanky_hp   ability   leaden  damage  | int-ranged-tanky_hp-ability-leaden-damage    | bruiser
int    ranged tanky_hp   ability   leaden  utility | int-ranged-tanky_hp-ability-leaden-utility   | tank
int    ranged tanky_hp   ability   leaden  hybrid  | int-ranged-tanky_hp-ability-leaden           | tank
int    ranged tanky_hp   ability   heavy   damage  | int-ranged-tanky_hp-ability-heavy-damage     | bruiser
int    ranged tanky_hp   ability   heavy   utility | int-ranged-tanky_hp-ability-heavy-utility    | tank
int    ranged tanky_hp   ability   heavy   hybrid  | int-ranged-tanky_hp-ability-heavy            | tank
int    ranged tanky_hp   ability   hybrid  damage  | int-ranged-tanky_hp-ability-damage           | bruiser
int    ranged tanky_hp   ability   hybrid  utility | int-ranged-tanky_hp-ability-utility          | tank
int    ranged tanky_hp   ability   hybrid  hybrid  | int-ranged-tanky_hp-ability                  | tank
int    ranged tanky_hp   ability   light   damage  | int-ranged-tanky_hp-ability-light-damage     | bruiser
int    ranged tanky_hp   ability   light   utility | int-ranged-tanky_hp-ability-light-utility    | tank
int    ranged tanky_hp   ability   light   hybrid  | int-ranged-tanky_hp-ability-light            | tank
int    ranged tanky_hp   ability   swift   damage  | int-ranged-tanky_hp-ability-swift-damage     | bruiser
